"profile_id";"task_id";"quantity";"load_dttm"
"3NNdrOEg1Rtg9X01n4LL";"1";"1";"20220608_170000"
"3NNdrOEg1Rtg9X01n4LL";"1";"1";"20220608_170000"
"3Qhx3bFfBIBI67unmMYg";"1";"1";"20220608_170000"
"3TPZ2HybFKa808Jm24Rc";"1";"1";"20220608_170000"
"3TQQhvuDjbGGGF1PDe8E";"1";"1";"20220608_170000"
"3dgwUpKf_9ZWHqyM7XJo";"1";"1";"20220608_170000"
"3jyIWrZ7p59HQerYXCIT";"1";"1";"20220608_170000"
"3n1PXXKXmfHY_FXJmJdE";"1";"1";"20220608_170000"
"3nf6y4pdFLMUBH9tdSi1";"1";"1";"20220608_170000"
"3nf6y4pdFLMUBH9tdSi1";"1";"1";"20220608_170000"
"3qssuqBfwZfHGNesXR41";"1";"1";"20220608_170000"
"42VDcacHPz4dIQiETcYC";"1";"1";"20220608_170000"
"47HGsv5NdphRjwlDJs8X";"1";"1";"20220608_170000"
"4ChrWc22vFg5RgQHfL5g";"1";"1";"20220608_170000"
"4NtckPJjB9oUiRMTqRNG";"1";"1";"20220608_170000"
"4UIGf3ravMVud8CV7yaH";"1";"1";"20220608_170000"
"4YppNbMO7hlvqmoyjKT3";"1";"1";"20220608_170000"
"4_IJcEKwKP4v3ImSh1f6";"1";"1";"20220608_170000"
"4gPzNzypKtidt6cHaeZt";"1";"1";"20220608_170000"
"4olUNtoqOW4kWI73U6Us";"1";"1";"20220608_170000"
"4xMXOkYVXlQCcCG0hI--";"1";"1";"20220608_170000"
"51wSb0S2rwonnAfR6yFN";"1";"1";"20220608_170000"
"53f2MNEPg5d77RpijrPV";"1";"1";"20220608_170000"
"54NzrN5lY11ojDtqEhyv";"1";"1";"20220608_170000"
"56WnsZYCT-ySXl58hN15";"1";"1";"20220608_170000"
"5D2WGVA5KtNsvLWlQF7y";"1";"1";"20220608_170000"
"5TO80ajCSDWNt1xdhcoR";"1";"1";"20220608_170000"
"5Wi4nSDuZfVdiu0VeLd7";"1";"1";"20220608_170000"
"5YG2i35GpuDCpBhbnXaH";"1";"1";"20220608_170000"
"5_x6kia8DjDT4qjWLGYZ";"1";"1";"20220608_170000"
"5bYP1T8Zj3V1AU-T66i-";"1";"1";"20220608_170000"
"5e-W8gSmo8CbeBRpmj1E";"1";"1";"20220608_170000"
"5fhIqMyzgnOiZDD8uI3P";"1";"1";"20220608_170000"
"5g2RcO84Ds8IT0YMNwB5";"1";"1";"20220608_170000"
"5i9hSkg42aw16vxb6w0V";"1";"1";"20220608_170000"
"62GsrTXsjOUbzBsgZWmM";"1";"1";"20220608_170000"
"68BGwLY2GxPwRWH7r-4E";"1";"1";"20220608_170000"
"6B7-SCpkeCQY7uHJE-Xt";"1";"1";"20220608_170000"
"6BGmYFFdZYBUTmCM1_I1";"1";"1";"20220608_170000"
"6HML0DC74THokfQXhoYD";"1";"1";"20220608_170000"
"6PfomFiT_ndg8SwzVo2I";"1";"1";"20220608_170000"
"6d-STxxoaMOwmMy6N0cs";"1";"1";"20220608_170000"
"6d5OZCQCHPARX_BqUD8q";"1";"1";"20220608_170000"
"6eZC2Xk_8kOCpCzaPXIh";"1";"1";"20220608_170000"
"6hQZqtGtSIQxhbxev8V4";"1";"1";"20220608_170000"
"6mSiIvM4HpAF2yloCpGW";"1";"1";"20220608_170000"
"6vjX_yQbjW6YjIMeyHum";"1";"1";"20220608_170000"
"6vjX_yQbjW6YjIMeyHum";"1";"1";"20220608_170000"
"6zWtn8W9cFV2pL-VlYiS";"1";"1";"20220608_170000"
"6zWtn8W9cFV2pL-VlYiS";"1";"1";"20220608_170000"
"6zWtn8W9cFV2pL-VlYiS";"1";"1";"20220608_170000"
"6zvyipUrS8f2GbYO_kET";"1";"1";"20220608_170000"
"7-NMvw6Y15s4sqmPNQke";"1";"1";"20220608_170000"
"73kVb_uN8MWoVvrMIyPT";"1";"1";"20220608_170000"
"74I2H5COa_D0xCXC3pXE";"1";"1";"20220608_170000"
"7DAjbHt_KhlSxsEw3HQd";"1";"1";"20220608_170000"
"7MoNXz7zAC-ygXYrDqCK";"1";"1";"20220608_170000"
"7OUnGT3su1jvQYtgfyIV";"1";"1";"20220608_170000"
"7SMP64qyz8ZXRdTXcgfY";"1";"1";"20220608_170000"
"7VVtuLMo4n9d0wHR4Z6E";"1";"1";"20220608_170000"
"7W2Cj_a_dxrVSGsf497F";"1";"1";"20220608_170000"
"7W2Cj_a_dxrVSGsf497F";"1";"1";"20220608_170000"
"7WFgXqq_jQmMVAhuGGc6";"1";"1";"20220608_170000"
"7Yj9MrN8xGp57EsXT1CB";"1";"1";"20220608_170000"
"7Yj9MrN8xGp57EsXT1CB";"1";"1";"20220608_170000"
"7Yj9MrN8xGp57EsXT1CB";"1";"1";"20220608_170000"
"7ZVVQygDEPrzRj5YB24T";"1";"1";"20220608_170000"
"7cyuwvceh0JIqn0REvQB";"1";"1";"20220608_170000"
"7eTVvA31B5lYDeJ7HzHE";"1";"1";"20220608_170000"
"7gOzh8fKjrQwcE62eLsV";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7kJKTr5q2OkACmDI7WlC";"1";"1";"20220608_170000"
"7v6cPLXZcRFulYWplVQR";"1";"1";"20220608_170000"
"7yEFSwIL8Nw8C871n0Y_";"1";"1";"20220608_170000"
"8-CKVBrpRpthL2dNVlrS";"1";"1";"20220608_170000"
"8DumenU3AiNvR7xFmO7b";"1";"1";"20220608_170000"
"8DumenU3AiNvR7xFmO7b";"1";"1";"20220608_170000"
"8DumenU3AiNvR7xFmO7b";"1";"1";"20220608_170000"
"8GiZIHZGYA8ux-G8VHZa";"1";"1";"20220608_170000"
"8KShZZfkj5Mhskosa7Av";"1";"1";"20220608_170000"
"8KShZZfkj5Mhskosa7Av";"1";"1";"20220608_170000"
"8KShZZfkj5Mhskosa7Av";"1";"1";"20220608_170000"
"8KShZZfkj5Mhskosa7Av";"1";"1";"20220608_170000"
